Group,Sample,Folder_name,File_name,fastq_1,fastq_2
shMSI2_MIB-03,shMSI2_MIB-03-01,Sample_Molm13_shMSI2-C_MIB_r3_IGO_14706_C_17,shMSI2-C_Con_r3_IGO_14706_C_17_S28,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S28_L001_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S28_L001_R2_001.fastq.gz
shMSI2_MIB-03,shMSI2_MIB-03-01,Sample_Molm13_shMSI2-C_MIB_r3_IGO_14706_C_17,shMSI2-C_Con_r3_IGO_14706_C_17_S2,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S2_L001_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S2_L001_R2_001.fastq.gz
shMSI2_MIB-03,shMSI2_MIB-03-01,Sample_Molm13_shMSI2-C_MIB_r3_IGO_13289_C_21,shMSI2-C_Con_r3_IGO_13289_C_21_S30,Molm13_shMSI2-C_Con_r3_IGO_13289_C_21_S30_L001_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r3_IGO_13289_C_21_S30_L001_R2_001.fastq.gz
shMSI2_MIB-03,shMSI2_MIB-03-02,Sample_Molm13_shMSI2-C_MIB_r3_IGO_14706_C_17,shMSI2-C_Con_r3_IGO_14706_C_17_S28,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S28_L002_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S28_L002_R2_001.fastq.gz
shMSI2_MIB-03,shMSI2_MIB-03-02,Sample_Molm13_shMSI2-C_MIB_r3_IGO_14706_C_17,shMSI2-C_Con_r3_IGO_14706_C_17_S2,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S2_L002_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S2_L002_R2_001.fastq.gz
shMSI2_MIB-03,shMSI2_MIB-03-02,Sample_Molm13_shMSI2-C_MIB_r3_IGO_13289_C_21,shMSI2-C_Con_r3_IGO_13289_C_21_S30,Molm13_shMSI2-C_Con_r3_IGO_13289_C_21_S30_L002_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r3_IGO_13289_C_21_S30_L002_R2_001.fastq.gz
shMSI2_MIB-03,shMSI2_MIB-03-03,Sample_Molm13_shMSI2-C_MIB_r3_IGO_14706_C_17,shMSI2-C_Con_r3_IGO_14706_C_17_S2,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S2_L003_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r3_IGO_14706_C_17_S2_L003_R2_001.fastq.gz
shMSI2_MIB-03,shMSI2_MIB-03-03,Sample_Molm13_shMSI2-C_MIB_r3_IGO_13289_C_21,shMSI2-C_Con_r3_IGO_13289_C_21_S30,Molm13_shMSI2-C_Con_r3_IGO_13289_C_21_S30_L003_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r3_IGO_13289_C_21_S30_L003_R2_001.fastq.gz
shMSI2_MIB-03,shMSI2_MIB-03-04,Sample_Molm13_shMSI2-C_MIB_r3_IGO_13289_C_21,shMSI2-C_Con_r3_IGO_13289_C_21_S30,Molm13_shMSI2-C_Con_r3_IGO_13289_C_21_S30_L004_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r3_IGO_13289_C_21_S30_L004_R2_001.fastq.gz
shMSI2_Ribo-01,shMSI2_Ribo-01-01,Sample_Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22,shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73_L001_R1_001.fastq.gz,Molm13_shMSI2-C_RiboSTAMP_r1_IGO_13289_C_22_S73_L001_R2_001.fastq.gz
